LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
"S.Curry, K.Durant, D.Green, Z.Pachulia, K.Thompson",GSW,43,532,93.5,34.8,66.8,52.1,11.3,25.8,43.7,12.7,15.1,83.9,6.9,28.5,35.4,27,11.2,8.1,4.1,2.6,11.8,14.5,18
"S.Curry, K.Durant, D.Green, A.Iguodala, K.Thompson",GSW,45,224,98.5,33.3,64.4,51.8,9.5,28,33.9,22.4,25,89.7,5.3,27.2,32.5,23.5,10.5,8.2,8.1,2.9,14.7,18.2,19.8
"S.Curry, D.Green, P.McCaw, Z.Pachulia, K.Thompson",GSW,19,175,88.1,33.7,69.2,48.7,12.5,27.3,45.9,8.2,8.8,93,8,26.5,34.5,26.5,12.1,7.6,2.9,4.5,13.6,10.9,9.2
"K.Durant, A.Iguodala, S.Livingston, K.Thompson, D.West",GSW,35,167,81.1,32.6,60.6,53.7,5.2,12.1,42.9,10.8,14,76.9,4.7,27.4,32.1,22.4,10.6,5.8,4.5,1.7,14.7,15.1,9.9
"S.Curry, K.Durant, D.Green, J.McGee, K.Thompson",GSW,24,126,100.9,37.6,72.4,52,13.1,26.5,49.5,12.5,16,78.6,6.6,32.2,38.8,27.4,8.3,7.4,4,4,11.4,12.5,27.4
"D.Green, A.Iguodala, S.Livingston, K.Thompson, D.West",GSW,18,102,69.4,27.1,58.1,46.7,4.9,16.6,29.8,10.2,14.4,70.7,4.9,26.1,31,20.8,8.5,7.8,5.6,1.8,12.7,15.5,3.9
"M.Barnes, I.Clark, A.Iguodala, K.Thompson, D.West",GSW,12,85,73,29.3,56.9,51.5,8.1,21.2,38,6.4,8.5,75,4.7,22.9,27.6,20.8,11,3.8,6.8,3,14,8.9,1.7
"S.Curry, D.Green, A.Iguodala, J.McGee, K.Thompson",GSW,34,80,106.6,37.9,66.8,56.8,10.8,20.8,52.2,19.9,24.4,81.5,9.5,25.3,34.8,30.3,11.3,6.3,5,3.2,14.9,17.6,9
"D.Green, A.Iguodala, S.Livingston, J.McAdoo, K.Thompson",GSW,9,57,67.4,23.3,57.3,40.7,5.7,18.3,31,15.1,19.5,77.4,5.7,23.3,29,18.3,9.4,6.9,6.3,2.5,13.2,17.6,0
"S.Curry, D.Green, A.Iguodala, Z.Pachulia, K.Thompson",GSW,29,54,108.5,41.5,67,62,10.7,20.8,51.6,14.7,18.8,78.6,6,22.8,28.8,30.8,8,8,4.7,1.3,20.8,12.7,28.1
"I.Clark, K.Durant, A.Iguodala, S.Livingston, D.West",GSW,14,52,77.1,29.9,56.3,53.1,4.2,11.1,37.5,13.2,16,82.6,2.1,23.6,25.7,22.9,9.7,2.1,2.8,0.7,10.4,11.8,-16
"I.Clark, S.Curry, D.Green, A.Iguodala, J.McGee",GSW,23,49,96.8,34.5,66.7,51.6,11.7,26.4,44.4,16.1,19.8,81.5,10.3,22,32.3,23.5,13.9,7.3,6.6,2.9,19.8,15.4,13.2
"M.Barnes, S.Curry, D.Green, Z.Pachulia, K.Thompson",GSW,4,45,77.8,29.4,64.3,45.7,11.9,26.2,45.5,7.1,7.9,90,5.6,19,24.6,19.8,12.7,9.5,2.4,4,13.5,8.7,0
"I.Clark, S.Curry, K.Durant, D.Green, A.Iguodala",GSW,18,43,98.2,36.6,73.2,50,11.6,29.9,38.9,13.3,17.5,76.2,8.3,25.8,34.1,20.8,10,8.3,2.5,4.2,10,16.6,16.6
"S.Curry, D.Green, A.Iguodala, S.Livingston, J.McGee",GSW,9,42,112.1,38.8,61.2,63.4,10.3,20.7,50,24.1,33.6,71.8,7.8,21.6,29.3,23.3,6,10.3,6.9,0.9,9.5,24.1,32.8
LINEUPS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,